"text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude","sentiment"
"","","","","","","","","","","","","",NA,NA,NA,-1
"Y cuántas tiendas de barrio han quebrado en el país? ","","","","","","","","","","","","",NA,NA,NA,-1
"","","","","","","","","","","","","",NA,NA,NA,-1
"Cuántas empresas han cerrado por esta c… https://t.co/L966P0Zuvr""","FALSE","2",NA,"9/07/2019 2:12","TRUE",NA,"1,14841E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","olmedolopezm","2","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"9/07/2019 1:44","FALSE",NA,"1,14841E+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","camilomartin5","34","TRUE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"9/07/2019 1:31","FALSE",NA,"1,1484E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dianita8404","34","TRUE",FALSE,NA,NA,-1
"RT @IvanDuque: #Bogotá Con diferentes gremios del sector privado, la academia y centrales obreras, adelantamos sesión de la Comisión Nacion…","FALSE","0",NA,"9/07/2019 1:26","FALSE",NA,"1,1484E+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DNP_Colombia","50","TRUE",FALSE,NA,NA,-1
"@DanGamboaB La culpa sí es de Colombia porque no se ha formalizado el empleo y se han dejado olvidadas las zonas de… https://t.co/d8rbOTIYkj","FALSE","0","DanGamboaB","9/07/2019 1:26","TRUE","1,14807E+18","1,1484E+18","137059347","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","GerMartel","0","FALSE",FALSE,NA,NA,-1
"RT @jaimeagarzon: @AlAngelopolis_ @OlgaOlluzama @AgriculturAnt @ADR_Colombia @Teleantioquia @ManuRestrepoR94 @COL_EJERCITO @alex_osorios @L…","FALSE","0",NA,"9/07/2019 1:23","FALSE",NA,"1,1484E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AlAngelopolis_","2","TRUE",FALSE,NA,NA,-1
"RT @rcnradio: ¿Está buscando trabajo? En Antioquia hay más de 36 mil vacantes de empleo https://t.co/6jv62GWKkl","FALSE","0",NA,"9/07/2019 1:23","FALSE",NA,"1,1484E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Juanayahendez","7","TRUE",FALSE,NA,NA,-1
"@EnriquePenalosa En Colombia no hay empleo ni siquiera para los colombianos. Y los pocos que dan trabajo explotan a… https://t.co/w3uQTB06jA","FALSE","0","EnriquePenalosa","9/07/2019 1:23","TRUE","1,14822E+18","1,1484E+18","108717093","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","nani_gin","0","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"9/07/2019 1:15","FALSE",NA,"1,1484E+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","alejovelbaq","34","TRUE",FALSE,NA,NA,-1
"RT @rcnradio: ¿Está buscando trabajo? En Antioquia hay más de 36 mil vacantes de empleo https://t.co/6jv62GWKkl","FALSE","0",NA,"9/07/2019 1:13","FALSE",NA,"1,1484E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DiegoRubioBta","7","TRUE",FALSE,NA,NA,-1
"RT @rcnradio: ¿Está buscando trabajo? En Antioquia hay más de 36 mil vacantes de empleo https://t.co/6jv62GWKkl","FALSE","0",NA,"9/07/2019 1:12","FALSE",NA,"1,1484E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Andres08Bello","7","TRUE",FALSE,NA,NA,-1
"@nayibbukele presidente soy un fiel al mirador suyo yo le apoyo desde aquí en colombia pero tengo un amigo q pregun… https://t.co/QCzlnEqjsM","FALSE","0","nayibbukele","9/07/2019 1:07","TRUE",NA,"1,1484E+18","20736511","<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MiguelA72864564","0","FALSE",FALSE,NA,NA,-1
"¿Está buscando trabajo? En Antioquia hay más de 36 mil vacantes de empleo https://t.co/6jv62GWKkl","FALSE","7",NA,"9/07/2019 1:07","FALSE",NA,"1,1484E+18",NA,"<a href=""http://www.rcnradio.com/"" rel=""nofollow"">RCN La Radio</a>","rcnradio","7","FALSE",FALSE,NA,NA,-1
"vacantes disponibles, Emprendimiento , #Bogotá, #Colombia https://t.co/SMT6mWFKZP #Empleo","FALSE","0",NA,"9/07/2019 1:01","FALSE",NA,"1,1484E+18",NA,"<a href=""http://www.empleate.com"" rel=""nofollow"">Empleo Colombia</a>","EmpleateCoTodas","0","FALSE",FALSE,NA,NA,-1
"@EnriquePenalosa Venga pelmaso.... ud no entiende que para ayudar a otros lo primero que debe hacer es tener su cas… https://t.co/4xSLP9VLc8","FALSE","0","EnriquePenalosa","9/07/2019 0:45","TRUE","1,14822E+18","1,14839E+18","108717093","<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jucani21","0","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"9/07/2019 0:37","FALSE",NA,"1,14839E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AngelLgars","34","TRUE",FALSE,NA,NA,-1
"#Colombia El requisito permitirá solicitar empleo en empresas sin necesidad de poseer documentación https://t.co/qWgcR84s0b","FALSE","6",NA,"9/07/2019 0:30","FALSE",NA,"1,14839E+18",NA,"<a href=""https://buffer.com"" rel=""nofollow"">Buffer</a>","TeLoCuentoNews","5","FALSE",FALSE,NA,NA,-1
"RT @fdbedout: “El delito es el recurso natural que más empleo da en Colombia. El resto es subempleo informal, desempleo y rebusque”. Antoni…","FALSE","0",NA,"9/07/2019 0:21","FALSE",NA,"1,14839E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","edgu10","1510","TRUE",FALSE,NA,NA,-1
"RT @VICTOR_EDIL_89: El @DANE_Colombia quiere saber a ciencia cierta si en Cartagena pasamos del 1 millón de habitantes o no. ¡Fácil! Haga u…","FALSE","0",NA,"9/07/2019 0:09","FALSE",NA,"1,14838E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MirandaCheyla","3","TRUE",FALSE,NA,NA,-1
"gran convocatoria, Emprendimiento , #Bogotá, #Colombia https://t.co/J5qPZfDvB2 #Empleo","FALSE","0",NA,"9/07/2019 0:01","FALSE",NA,"1,14838E+18",NA,"<a href=""http://www.empleate.com"" rel=""nofollow"">Empleo Colombia</a>","EmpleateCoTodas","0","FALSE",FALSE,NA,NA,-1
"RT @LucianaMora10: @jbagbam74 Esto lo armo la izquierda la Colombia humana con los venecos por envidia al mejor gerente de Colombia por gen…","FALSE","0",NA,"8/07/2019 23:05","FALSE",NA,"1,14837E+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","jamado63","1","TRUE",FALSE,NA,NA,-1
"bachiller con o sin experiencia, Emprendimiento , #Bogotá, #Colombia https://t.co/kmouD5kH9y #Empleo","FALSE","0",NA,"8/07/2019 23:01","FALSE",NA,"1,14837E+18",NA,"<a href=""http://www.empleate.com"" rel=""nofollow"">Empleo Colombia</a>","EmpleateCoTodas","0","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 22:49","FALSE",NA,"1,14836E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","JAVIER8008","34","TRUE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 22:46","FALSE",NA,"1,14836E+18",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>","AmyGaravito","34","TRUE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 22:41","FALSE",NA,"1,14836E+18",NA,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Mobile Web (M2)</a>","zuzupasaludar","34","TRUE",FALSE,NA,NA,-1
"RT @NaranjitoBall: Hola @JaviSantamarta  estamos discutiendo mi padre y yo sobre cuál era el empleo de don Blas Lezo, el dice que era almir…","FALSE","0",NA,"8/07/2019 22:18","FALSE",NA,"1,14836E+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","RepFurioso","1","TRUE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 22:14","FALSE",NA,"1,14835E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","ClaudiaYanethT7","34","TRUE",FALSE,NA,NA,-1
"Hola @JaviSantamarta  estamos discutiendo mi padre y yo sobre cuál era el empleo de don Blas Lezo, el dice que era… https://t.co/MnY37gpgtJ","FALSE","3",NA,"8/07/2019 22:12","TRUE",NA,"1,14835E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","NaranjitoBall","1","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 22:07","FALSE",NA,"1,14835E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","dieandresua","34","TRUE",FALSE,NA,NA,-1
"esta es tu oportunidad para laborar, Yesica S.A.S, #Bogotá, #Colombia https://t.co/ZNsxgxCStS #Empleo","FALSE","0",NA,"8/07/2019 22:01","FALSE",NA,"1,14835E+18",NA,"<a href=""http://www.empleate.com"" rel=""nofollow"">Empleo Colombia</a>","EmpleateCoTodas","0","FALSE",FALSE,NA,NA,-1
"COMPRAR ROPA HECHA EN COLOMBIA TIENE TODO QUE GANAR","","","","","","","","","","","","",NA,NA,NA,-1
" · EXCELENTE CALIDAD","","","","","","","","","","","","",NA,NA,NA,-1
" · GENERAMOS EMPLEO","","","","","","","","","","","","",NA,NA,NA,-1
" · APOYAMOS EL DESARRO… https://t.co/SHNBjez8Ls""","FALSE","0",NA,"8/07/2019 22:00","TRUE",NA,"1,14835E+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maquitalentos","0","FALSE",FALSE,NA,NA,-1
"COMPRAR ROPA HECHA EN COLOMBIA TIENE TODO QUE GANAR","","","","","","","","","","","","",NA,NA,NA,-1
" · EXCELENTE CALIDAD","","","","","","","","","","","","",NA,NA,NA,-1
" · GENERAMOS EMPLEO","","","","","","","","","","","","",NA,NA,NA,-1
" · APOYAMOS EL DESARRO… https://t.co/56FGUI3jFF""","FALSE","0",NA,"8/07/2019 22:00","TRUE",NA,"1,14835E+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maquitalentos","0","FALSE",FALSE,NA,NA,-1
"COMPRAR ROPA HECHA EN COLOMBIA TIENE TODO QUE GANAR","","","","","","","","","","","","",NA,NA,NA,-1
" · EXCELENTE CALIDAD","","","","","","","","","","","","",NA,NA,NA,-1
" · GENERAMOS EMPLEO","","","","","","","","","","","","",NA,NA,NA,-1
" · APOYAMOS EL DESARRO… https://t.co/UL611UA3zE""","FALSE","0",NA,"8/07/2019 21:59","TRUE",NA,"1,14835E+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bairoramirez","0","FALSE",FALSE,NA,NA,-1
"COMPRAR ROPA HECHA EN COLOMBIA TIENE TODO QUE GANAR","","","","","","","","","","","","",NA,NA,NA,-1
" · EXCELENTE CALIDAD","","","","","","","","","","","","",NA,NA,NA,-1
" · GENERAMOS EMPLEO","","","","","","","","","","","","",NA,NA,NA,-1
" · APOYAMOS EL DESARRO… https://t.co/VDhxAHOy1J""","FALSE","0",NA,"8/07/2019 21:59","TRUE",NA,"1,14835E+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bairoramirez","0","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 21:54","FALSE",NA,"1,14835E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","DANIELS_288","34","TRUE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 21:46","FALSE",NA,"1,14835E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MaryaTSuarez","34","TRUE",FALSE,NA,NA,-1
"COMPRAR ROPA HECHA EN COLOMBIA TIENE TODO QUE GANAR","","","","","","","","","","","","",NA,NA,NA,-1
"· EXCELENTE CALIDAD","","","","","","","","","","","","",NA,NA,NA,-1
"· GENERAMOS EMPLEO","","","","","","","","","","","","",NA,NA,NA,-1
"· APOYAMOS EL DESARROLLO… https://t.co/q0A8OIpInX""","FALSE","0",NA,"8/07/2019 21:43","TRUE",NA,"1,14835E+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","maquitalentos","0","FALSE",FALSE,NA,NA,-1
"COMPRAR ROPA HECHA EN COLOMBIA TIENE TODO QUE GANAR","","","","","","","","","","","","",NA,NA,NA,-1
"· EXCELENTE CALIDAD","","","","","","","","","","","","",NA,NA,NA,-1
"· GENERAMOS EMPLEO","","","","","","","","","","","","",NA,NA,NA,-1
"· APOYAMOS EL DESARROLLO… https://t.co/LKgP1jFIR9""","FALSE","0",NA,"8/07/2019 21:42","TRUE",NA,"1,14835E+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","bairoramirez","0","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 21:41","FALSE",NA,"1,14835E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","LCuernos","34","TRUE",FALSE,NA,NA,-1
"RT @jaimeagarzon: @AlAngelopolis_ @OlgaOlluzama @AgriculturAnt @ADR_Colombia @Teleantioquia @ManuRestrepoR94 @COL_EJERCITO @alex_osorios @L…","FALSE","0",NA,"8/07/2019 21:29","FALSE",NA,"1,14834E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","OlgaOlluzama","2","TRUE",FALSE,NA,NA,-1
"@AlAngelopolis_ @OlgaOlluzama @AgriculturAnt @ADR_Colombia @Teleantioquia @ManuRestrepoR94 @COL_EJERCITO… https://t.co/vdFpLEpYYo","FALSE","2","AlAngelopolis_","8/07/2019 21:27","TRUE","1,14764E+18","1,14834E+18","4571772315","<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>","jaimeagarzon","2","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 21:21","FALSE",NA,"1,14834E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","yimmys","34","TRUE",FALSE,NA,NA,-1
"Este tipo de comentario, me encanta, la gente cree que exigir algo legal, como son condiciones laborales mínimas, e… https://t.co/Oa9xlQIJHt","FALSE","0",NA,"8/07/2019 21:21","TRUE",NA,"1,14834E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","AndresCast0311","0","FALSE",FALSE,NA,NA,-1
"Qué bueno saber que D1 llega a 1.000 sucursales en Colombia y que es una de las empresas con más generación de empl… https://t.co/03ql5vDHnA","FALSE","2",NA,"8/07/2019 21:16","TRUE",NA,"1,14834E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Andresillo2108","0","FALSE",FALSE,NA,NA,-1
"RT @Telecom_Ec: La inversión desde la #AlianzaDelPacifico será fundamental para la creación de empleo en el país. De acuerdo al World Inves…","FALSE","0",NA,"8/07/2019 21:11","FALSE",NA,"1,14834E+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","infosanroque","21","TRUE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 21:09","FALSE",NA,"1,14834E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","nelblancog","34","TRUE",FALSE,NA,NA,-1
"RT @VICTOR_EDIL_89: El @DANE_Colombia quiere saber a ciencia cierta si en Cartagena pasamos del 1 millón de habitantes o no. ¡Fácil! Haga u…","FALSE","0",NA,"8/07/2019 21:06","FALSE",NA,"1,14834E+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","laquejadera1","3","TRUE",FALSE,NA,NA,-1
"personal mixto con o sin experiencia, Emprendimiento , #Bogotá, #Colombia https://t.co/UO4YKDd2Zr #Empleo","FALSE","0",NA,"8/07/2019 21:01","FALSE",NA,"1,14834E+18",NA,"<a href=""http://www.empleate.com"" rel=""nofollow"">Empleo Colombia</a>","EmpleateCoTodas","0","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 20:56","FALSE",NA,"1,14834E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","CristianVlezD1","34","TRUE",FALSE,NA,NA,-1
"RT @MinjusticiaCo: Consulte la actualización sobre la ley del servicio público de empleo a través de #Suin-Juriscol; ley que permitirá a fu…","FALSE","0",NA,"8/07/2019 20:54","FALSE",NA,"1,14833E+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","INPEC_Colombia","1","TRUE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 20:53","FALSE",NA,"1,14833E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","johanagobet","34","TRUE",FALSE,NA,NA,-1
"2. Lo que está pasando en materia de empleo en Colombia es que no existen las empresas que absorban la fuerza  de t… https://t.co/VJ9fsDs9Nz","FALSE","1",NA,"8/07/2019 20:51","TRUE",NA,"1,14833E+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","OverDoradoC","0","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 20:45","FALSE",NA,"1,14833E+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","Camacho63Cano","34","TRUE",FALSE,NA,NA,-1
"vacantes disponibles, Emprendimiento , #Bogotá, #Colombia https://t.co/NTipGML75r #Empleo","FALSE","0",NA,"8/07/2019 20:45","FALSE",NA,"1,14833E+18",NA,"<a href=""http://www.empleate.com"" rel=""nofollow"">Colombia Mercadeo</a>","EmpleateCoMktg","0","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 20:39","FALSE",NA,"1,14833E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","MendezMpx3","34","TRUE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 20:33","FALSE",NA,"1,14833E+18",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","jimenasanin","34","TRUE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 20:31","FALSE",NA,"1,14833E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","cg02986","34","TRUE",FALSE,NA,NA,-1
"El @DANE_Colombia quiere saber a ciencia cierta si en Cartagena pasamos del 1 millón de habitantes o no. ¡Fácil! Ha… https://t.co/SOn4ZGjRyg","FALSE","5",NA,"8/07/2019 20:30","TRUE",NA,"1,14833E+18",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","VICTOR_EDIL_89","3","FALSE",FALSE,NA,NA,-1
"gran convocatoria, Emprendimiento , #Bogotá, #Colombia https://t.co/CGoA82UzD9 #Empleo","FALSE","0",NA,"8/07/2019 20:30","FALSE",NA,"1,14833E+18",NA,"<a href=""http://www.empleate.com"" rel=""nofollow"">Colombia Mercadeo</a>","EmpleateCoMktg","0","FALSE",FALSE,NA,NA,-1
"RT @casaleantonio: ¿Hay algo mejor que el D1? jajajaja sólo que gane Millonarios. Hoy abrieron la tienda número MIL en Colombia <U+0001F44F><U+0001F3FB>. Son los…","FALSE","0",NA,"8/07/2019 20:29","FALSE",NA,"1,14833E+18",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Margara921","34","TRUE",FALSE,NA,NA,-1
